,Year,Club,Name,Pos,Base Salary,Guaranteed Compensation
227,2008,DC,Devon McTavish,D,33000.0,33000.0
228,2008,DC,Domenic Mediate,M,33000.0,33000.0
229,2008,TFC,Joey Melo,M,12900.0,12900.0
230,2008,NY,Carlos Mendes,D,70986.56,70986.56
231,2008,CHV,Francisco Mendoza,M,105000.0,105000.0
232,2008,CLB,Stefani Miglioranzi,M,76200.0,84200.0
233,2008,DC,Ryan Miller,D,12900.0,12900.0
234,2008,CLB,Adam Moffat,M,17700.0,17700.0
235,2008,POOL,David Monsalve,GK,33000.0,33000.0
236,2008,DAL,Drew Moor,D,132000.0,149188.89
237,2008,RSL,Javier Morales,M,240000.0,240000.0
238,2008,CLB,Alejandro Moreno,F,126000.0,131000.0
239,2008,DC,Jaime Moreno,F,275000.0,275000.0
240,2008,KC,Kurt Morsink,M,33000.0,33000.0
241,2008,RSL,Yura Movsisyan,F,47575.0,57575.0
242,2008,HOU,Brian Mullan,M,156240.0,165552.5
243,2008,HOU,Richard Mulrooney,M,157500.0,157500.0
244,2008,LA,Mike Munoz,M,12900.0,12900.0
245,2008,KC,Chance Myers,D,70000.0,130000.0
246,2008,CHV,Paulo Nagamura,M,93712.5,93712.5
247,2008,DC,Bryan Namoff,D,95000.0,98750.0
248,2008,RSL,Alex Nimo,M,45000.0,78000.0
249,2008,CHI,Nick Noble,GK,17700.0,17700.0
250,2008,CLB,Pat Noonan,F,175008.0,175008.0
251,2008,RSL,Tino Nunez,F,17700.0,17700.0
252,2008,CHV,Roberto Nurse,F,12900.0,12900.0
253,2008,CHI,Patrick Nyarko,F,55000.0,135000.0
254,2008,NE,Sainey Nyassi,M,33000.0,33000.0
255,2008,SEA,Sanna Nyassi,M,33000.0,33000.0
256,2008,CLB,Stanley Nyazamba,F,12900.0,12900.0
257,2008,COL,Ciaran O'Brien,M,45000.0,78750.0
258,2008,SJ,Ronnie O'Brien,M,240000.0,258750.0
259,2008,DAL,Dominic Oduro,F,33000.0,33000.0
260,2008,RSL,Jamison Olave,D,80000.0,80000.0
261,2008,DC,Ben Olsen,M,215000.0,215000.0
262,2008,HOU,Pat Onstad,GK,173000.0,173000.0
263,2008,CLB,Danny O'Rourke,D,59147.81,69147.81
264,2008,CLB,Duncan Oughton,D,75600.0,75600.0
265,2008,CLB,Gino Padula,D,120000.0,145000.0
266,2008,NY,Mike Palacio,M,12900.0,12900.0
267,2008,CHV,Daniel Paladini,M,12900.0,12900.0
268,2008,CHI,Marco Pappa,M,33000.0,33000.0
269,2008,KC,Boris Pardo,GK,12900.0,12900.0
270,2008,NY,Jeff Parke,D,57487.5,58737.5
271,2008,CHV,Lance Parker,GK,12900.0,12900.0
272,2008,NE,Michael Parkhurst,D,135382.5,147882.5
273,2008,NY,Caleb Patterson,GK,12900.0,12900.0
274,2008,CHI,Logan Pause,M,81730.0,84230.0
275,2008,DC,Gonzalo Peralta,D,180000.0,199000.0
276,2008,CLB,Andrew Peterson,D,12900.0,12900.0
277,2008,COL,Jacob Peterson,F,75000.0,93750.0
278,2008,COL,Mike Petke,D,133000.0,133000.0
279,2008,NE,Pat Phelan,M,33000.0,33000.0
280,2008,CLB,Ricardo Pierre-Louis,F,17700.0,17700.0
281,2008,NY,Juan Pietravallo,M,192000.0,192000.0
282,2008,LA,Alvaro Pires,M,100000.0,110775.31
283,2008,DAL,Aaron Pitchkolan,D,33000.0,33000.0
284,2008,KC,Nelson Pizarro,M,12900.0,12900.0
285,2008,CLB,Brian Plotkin,M,12900.0,12900.0
286,2008,KC,Ryan Pore,F,54807.5,67307.5
287,2008,CHI,Brandon Prideaux,D,72000.0,72000.0
288,2008,NE,Steve Ralston,M,150000.0,150000.0
289,2008,LA,Michael Randolph,D,33000.0,33000.0
290,2008,CHV,Ante Razov,F,255000.0,258750.0
291,2008,RSL,Kevin Reiman,M,12900.0,12900.0
292,2008,NE,Matt Reis,GK,161250.0,161250.0
293,2008,RSL,Kyle Reynish,GK,17700.0,17700.0
294,2008,DAL,Bobby Rhine,D,65000.0,67500.0
295,2008,DAL,Pablo Ricchetti,M,132000.0,138625.0
296,2008,NY,Dane Richards,M,33000.0,33000.0
297,2008,TFC,Rohan Ricketts,M,200004.0,212504.0
298,2008,SJ,James Riley,D,33000.0,33000.0
299,2008,RSL,Nick Rimando,GK,91500.0,95843.75
300,2008,SJ,Jamil Roberts,D,17700.0,17700.0
301,2008,LA,Troy Roberts,D,33000.0,33000.0
302,2008,TFC,Carl Robinson,M,315000.0,330000.0
303,2008,CHI,Dasan Robinson,D,44625.0,44625.0
304,2008,HOU,Eddie Robinson,D,131250.0,131250.0
305,2008,DAL,Andre Rocha,M,135000.0,135000.0
306,2008,CLB,Robbie Rogers,M,57500.0,57500.0
307,2008,NY,Jorge Rojas,M,84000.0,94000.0
308,2008,CHI,Chris Rolfe,F,81375.0,86075.0
309,2008,TFC,Tyler Rosenlund,M,17700.0,17700.0
310,2008,NY,David Roth,M,12900.0,12900.0
311,2008,DAL,Jeff Rowland,M,17700.0,17700.0
